project_name	publication_year	publication_doi	site_name	latitude	longitude	geo_loc_name	study_primary_focus	sequence_name	depth	temp	pH	salinity	NO3-	PO43-	SO42-	Ca2+	Mg2+	sample_name	feature	material	sampling_date	archive	archive_project	archive_accession
Ahmed 2018	2018	10.1016/j.quascirev.2017.11.037	HÃ¤sseldala Port	56.16	15.01	Sweden	ecology/ industry	Sediment core #7.4	435									HA1.1	lake	lake sediment	2015	ENA	PRJNA378719	SRS2040659
Cristman 2020	2020	10.1038/s41598-020-64904-6	offshore Texas	29	94	USA	ecology		NA									B9 Reservoir	oil reservoir	filtered produced water from oil	2016	SRA	PRJNA578106	SRS5536771
Cristman 2020	2020	10.1038/s41598-020-64904-6	offshore Texas	29	94	USA	ecology		NA									B7 Reservoir	oil reservoir	filtered produced water from oil	2016	SRA	PRJNA578106	SRS5536770
Cristman 2020	2020	10.1038/s41598-020-64904-6	offshore Texas	29	94	USA	ecology		NA									B6 Reservoir	oil reservoir	filtered produced water from oil	2016	SRA	PRJNA578106	SRS5536769
Cristman 2020	2020	10.1038/s41598-020-64904-6	offshore Texas	29	94	USA	ecology		NA									A2 Reservoir	oil reservoir	filtered produced water from oil	2016	SRA	PRJNA578106	SRS5536768
Wang2018	2018	10.1016/j.scitotenv.2018.10.410	Shen84, Liaoning	NA	NA	China	ecology/industy		NA									16S6_samples_set	oil reservoir	water and oil	2017	SRA	PRJNA487841	SRS3714284
Wang2018	2018	10.1016/j.scitotenv.2018.10.410	Shen84, Liaoning	NA	NA	China	ecology/industy		NA									16S5_samples_set	oil reservoir	water and oil	2017	SRA	PRJNA487841	SRS3714285
Wang2018	2018	10.1016/j.scitotenv.2018.10.410	Shen84, Liaoning	NA	NA	China	ecology/industy		NA									71551	oil reservoir	water and oil	2017	SRA	PRJNA487892 	SRS3714491
Wang2018	2018	10.1016/j.scitotenv.2018.10.410	Shen84, Liaoning	NA	NA	China	ecology/industy		NA									7151	oil reservoir	water and oil	2017	SRA	PRJNA487892 	SRS3714490
Wang2018	2018	10.1016/j.scitotenv.2018.10.410	Shen84, Liaoning	NA	NA	China	ecology/industy		NA									6111_W	oil reservoir	water and oil	2017	SRA	PRJNA487892 	SRS3714489 
Wang2018	2018	10.1016/j.scitotenv.2018.10.410	Shen84, Liaoning	NA	NA	China	ecology/industy		NA									AJ_5	oil reservoir	water and oil	2017	SRA	PRJNA487892 	SRS3714487 
Wang2018	2018	10.1016/j.scitotenv.2018.10.410	Shen84, Liaoning	NA	NA	China	ecology/industy		NA									6111_O	oil reservoir	water and oil	2017	SRA	PRJNA487892 	SRS3714488
		10.1038/srep20174	XinJiang	NA	NA	China	ecology		NA	39	7	10916.1	1.4	2.1	11.9	17.4	13.6	XJQ1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	XinJiang	NA	NA	China	ecology		NA	39	7	11645.5	0.9	0.2	13	151.8	58	XJQ2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	XinJiang	NA	NA	China	ecology		NA	39	7	11387.5	1.1	0	5.9	134.3	31.2	XJQ3	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	XinJiang	NA	NA	China	ecology		NA	22	8	10101.5	2.15	3.61	71.6	91.5	44.7	XJL1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	XinJiang	NA	NA	China	ecology		NA	22	8	10687.3	6.3	2.9	61.5	116.2	64.5	XJL2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	XinJiang	NA	NA	China	ecology		NA	22	8	9228.3	0	3.9	184.1	142.1	20.6	XJL3	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	XinJiang	NA	NA	China	ecology		NA	22	8	10040.9	3.7	2.9	126.8	117.5	36.5	XJL4	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	XinJiang	NA	NA	China	ecology		NA	22	8	8113.2	0.8	1.8	92.3	103.3	61.6	XJL5	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	XinJiang	NA	NA	China	ecology		NA	22	8	8997.6	4.6	6.8	61.6	86.9	75.1	XJL6	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	XinJiang	NA	NA	China	ecology		NA	22	8	9710.5	0	0	89.2	99.7	36.9	XJL7	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	XinJiang	NA	NA	China	ecology		NA	22	8	10161.2	11.3	9.8	161.5	128.8	81.6	XJL8	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaQing	NA	NA	China	ecology		NA	45	7	4673.9	11.9	21.6	126.3	11.7	42.5	DQY1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaQing	NA	NA	China	ecology		NA	45	7	4816.5	9.8	8.6	36.9	36.8	56.9	DQY2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaQing	NA	NA	China	ecology		NA	45	7	5185.6	15.2	18.4	80.2	46.1	81.2	DQY3	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaQing	NA	NA	China	ecology		NA	46	6.5	6030.6	3.2	0	42.6	16.8	5.9	DQS1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaQing	NA	NA	China	ecology		NA	46	6.5	6125.1	6.9	5.8	67.2	38.3	7.1	DQS2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaQing	NA	NA	China	ecology		NA	46	6.5	6316.5	0	0	28.7	11.2	2.6	DQS3	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaQing	NA	NA	China	ecology		NA	50	6	8511.7	1.3	0	77.1	68.2	5.2	DQQ1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaQing	NA	NA	China	ecology		NA	50	6	9520.1	4.6	8.9	28.6	91.8	41.5	DQQ2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaQing	NA	NA	China	ecology		NA	50	6	8967.6	0	6.8	121.5	59.7	2.7	DQQ3	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaQing	NA	NA	China	ecology		NA	60	5.5	12831	2.8	5.1	216.9	78.5	2	DQT1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaQing	NA	NA	China	ecology		NA	60	5.5	11430	2.6	7.9	181.7	61.3	0.8	DQT2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	JiLin	NA	NA	China	ecology		NA	65	6.5	6023.2	0	3.9	89.9	17.4	8.6	JL1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	JiLin	NA	NA	China	ecology		NA	65	6.5	16174.3	8.8	16.7	146.4	23.5	10.5	JL2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	LiaoHe	NA	NA	China	ecology		NA	60	7	3532	5.6	4.8	28	9.9	9.4	LHS1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	LiaoHe	NA	NA	China	ecology		NA	60	7	3687.4	3.1	6.2	67.8	13.2	9.1	LHS2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	LiaoHe	NA	NA	China	ecology		NA	47	7	1665.1	0	1.8	219.7	26.9	16.2	LHJ1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	LiaoHe	NA	NA	China	ecology		NA	47	7	1665.7	0	0	20.9	10	2.4	LHJ2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	LiaoHe	NA	NA	China	ecology		NA	38	7	1617	0.7	0	86.6	35.1	10.5	LHD1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	LiaoHe	NA	NA	China	ecology		NA	38	7	1500	0	1.8	101.5	61.2	9.8	LHD2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	ShengLi	NA	NA	China	ecology		NA	72	6	8968.6	0	1.6	2719.6	96.9	86.9	SLX1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	ShengLi	NA	NA	China	ecology		NA	65	6	5032.3	0	0	847.3	167.8	63.8	SLX2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	ShengLi	NA	NA	China	ecology		NA	64	6.5	6454.4	0	2.8	272	91.6	35.6	SLZ1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	ShengLi	NA	NA	China	ecology		NA	70	6.5	5100.1	3.6	6.2	76.9	82.7	15.2	SLZ2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaGang	NA	NA	China	ecology		NA	66	6.5	2704.3	6.6	10.1	21	12.6	3	DGD1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaGang	NA	NA	China	ecology		NA	66	6.5	4524.6	8.1	6.9	259.5	2	5.3	DGD2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaGang	NA	NA	China	ecology		NA	47	7	10246.9	0.9	0.2	35.6	35	5.5	DGX1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaGang	NA	NA	China	ecology		NA	47	7	9699.7	0	1.2	327.6	75.8	7.1	DGX2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaGang	NA	NA	China	ecology		NA	47	7	9967.9	0	0.8	126.8	96.5	10.8	DGX3	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaGang	NA	NA	China	ecology		NA	60	6.5	6651	2.6	5.7	69.5	81.5	41.6	DGK1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaGang	NA	NA	China	ecology		NA	60	6.5	6457.6	1.3	6.1	82.4	66.7	33.8	DGK2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaGang	NA	NA	China	ecology		NA	60	6.5	7156.4	0	5.3	125	49.5	23	DGK3	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaGang	NA	NA	China	ecology		NA	73	6.5	22225.2	11.6	9.8	136.5	168.2	98.9	DGS1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	DaGang	NA	NA	China	ecology		NA	73	6.5	21871.3	8.7	12.6	547.1	276	90.1	DGS2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	YangChang	NA	NA	China	ecology		NA	34	6	31281.5	16.5	21.8	3583.6	4717	503.6	YC1-1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	YangChang	NA	NA	China	ecology		NA	34	6	25155.9	9.6	18.9	1261.5	4066	462.9	YC1-2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	YangChang	NA	NA	China	ecology		NA	34	6	27537	21.2	16.3	987.1	4279	496.9	YC1-3	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	YangChang	NA	NA	China	ecology		NA	39	7	27965.6	22.6	19.2	2421.8	464.4	3952	YC2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	QingHai	NA	NA	China	ecology		NA	43	7	82827	31.5	26.3	435.7	2293	516.7	QH1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	QingHai	NA	NA	China	ecology		NA	68	7	61082	19.5	23.6	55.9	2252	1314	QH2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	HuaBei	NA	NA	China	ecology		NA	37	7	1262.1	1.26	0	13.5	16.8	0.8	HBM1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	HuaBei	NA	NA	China	ecology		NA	37	7	1195	0	0	4.7	17.4	9.1	HBM2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	HuaBei	NA	NA	China	ecology		NA	58	7	2891.3	0	1.35	12.1	3.6	1.4	HBB1	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	HuaBei	NA	NA	China	ecology		NA	58	7	2597.3	0	0	57.3	41.7	5	HBB2	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	HuaBei	NA	NA	China	ecology		NA	58	7	2431.1	2.18	1.57	40.6	64.7	6.9	HBB3	formation brine	water	NA	SRA	PRJNA271507	
		10.1038/srep20174	HuaBei	NA	NA	China	ecology		NA	58	7	2422.4	0	3.75	56.6	73.9	9.1	HBB4	formation brine	water	NA	SRA	PRJNA271507	